algo;1.public;2.public;3.public;4.public;5.public;6.public;7.public;8.public;9.public;10.public
slow_ibarra;30842126.0;;;;;;;;;
ibarra_0.1;30160391.0;12363641.0;11724226.0;4964039.0;1985663.0;398756.0;29674640.0;11173026.0;517781.0;205752.0
ibarra_0.05;30774218.0;12595083.0;11758372.0;4987464.0;1996912.0;399750.0;29665784.0;11188004.0;519744.0;206320.0
branch_bound_10_10;30842069.0;12619748.0;11775431.0;4990139.0;1997067.0;399856.0;29674620.0;11189538.0;490446.0;204321.0
branch_bound_10_15;30842069.0;12619817.0;11775431.0;4990139.0;1997067.0;399890.0;29678831.0;11189569.0;514462.0;204340.0
branch_bound_10_15_v2;30842069.0;12619817.0;11775433.0;4990139.0;1997067.0;399890.0;29678831.0;11189569.0;514462.0;204340.0
ibarra_0.1_v2;30842069.0;12619817.0;11775433.0;4990139.0;1997067.0;399890.0;29678831.0;11189569.0;514462.0;204340.0
ibarra_0.05_v2;30842069.0;12619817.0;11775433.0;4990139.0;1997067.0;399890.0;29678831.0;11189569.0;514462.0;204340.0
meet_in_the_middle_10_15;30842069.0;12619825.0;11774776.0;4990139.0;1997067.0;399871.0;29677225.0;11189569.0;514407.0;204302.0
meet_in_the_middle_15_25;30840574.0;12619777.0;11773685.0;4990139.0;1996921.0;399868.0;29686382.0;11189576.0;519603.0;206364.0
meet_in_the_middle_15_25_v2;30840574.0;12619777.0;11773685.0;4990139.0;1996921.0;399868.0;29686382.0;11189576.0;519603.0;206364.0
combo_ibarra_slow_meet_inthe_middle;30842131.0;12619821.0;11775433.0;4990139.0;1998907.0;399992.0;29688620.0;11189576.0;519785.0;206417.0
combo_ibarra_slow_meet_inthe_middle_v2;30842131.0;12619825.0;11775433.0;4990139.0;1998907.0;399992.0;29688620.0;11189576.0;519785.0;206418.0
half;30841801.0;12619551.0;11774251.0;4989760.0;1995020.0;399680.0;29667913.0;11188171.0;471817.0;193087.0
